name,city,field,lon,lat
"Vangsgard, Amy",,CartoonCharacter,,
"Van Dusen, Chris",,CartoonCharacter,,
"Vandruff, Marshall",,CartoonCharacter,,
"Van Rompaey, Felipe",,CartoonCharacter,,
Valdes Creative,,CartoonCharacter,,
"Vaccaro, Victor","Bellport, NY",CartoonCharacter,-72.939273,40.757043
"Ushiro, Edwin",,CartoonCharacter,,
"Ureel, Bryan","Royal Oak, MI",CartoonCharacter,-83.144649,42.48948
"Unger, Elaine","Valencia, CA",CartoonCharacter,-118.571382,34.456151
Uncommon Industries,,CartoonCharacter,,
Umami Design,"Kalamazoo, MI",CartoonCharacter,-85.587229,42.291707
"Ulve, Kirsten",,CartoonCharacter,,
"Tyson, Sara","Seguin, ON",CartoonCharacter,-79.781129,45.332036
Two Fish Illustration & Design,,CartoonCharacter,,
"Twingley, Jonathan",,CartoonCharacter,,
"Twinem, Neecy","Sandia Park, NM",CartoonCharacter,-106.366417,35.16818
"Tuttle, Jean",,CartoonCharacter,,
"Tuscan, Christopher S.","Park Forest, IL",CartoonCharacter,-87.674489,41.491424
"Tulka, Rick",,CartoonCharacter,,
"Tucker, Ezra","Monument, CO",CartoonCharacter,-104.872758,39.091659
"Tsong, Jing Jing","Langley, WA",CartoonCharacter,-122.406257,48.040095
"Tseng, Kevin",,CartoonCharacter,,
TR3 Studios,"Ypsilanti, MI",CartoonCharacter,-83.612994,42.24115
"Ajhar, Brian",,ComicBook,,
"Allen, Mark",,Animation,,
"Allen, Raul",,Animation,,
"Allinger, Janet Illustration & Graphic Design",,Animation,,
"Allsbrook, Wesley",,Animation,,
Andres Illustra,,Animation,,
"Animatics & Storyboards, Inc.",,Animation,,
"Arrasmith, Patrick",,Animation,,
"Ashmore, Brian",,Animation,,
"Auger, Michael",,Animation,,
"Barbieri, Pamela",,Animation,,
"Bass, Jonathan",,Animation,,
"Baumann, Marty",,Animation,,
"Bear, Nate",,Animation,,
"Berke, Lauren Simkin",,Animation,,
Black Ink Creative Partners,,Animation,,
